fattening_day,wts,yr,doy,rad,mint,maxt,vpr,wind,rain,aha,okta,is_observed,source_day,updated_at,season_start_date
156,1,1998,156,19996,7.8,22.1,1.298,3.6,9,0.426430969,4.400072314,0,150,2026-04-28T16:35:19Z,1998-01-01
157,1,1998,157,19996,7.8,22.1,1.298,3.6,9,0.426430969,4.400072314,0,150,2026-04-28T16:35:19Z,1998-01-01
158,1,1998,158,19996,7.8,22.1,1.298,3.6,9,0.426430969,4.400072314,0,150,2026-04-28T16:35:19Z,1998-01-01
159,1,1998,159,19996,7.8,22.1,1.298,3.6,9,0.426430969,4.400072314,0,150,2026-04-28T16:35:19Z,1998-01-01
160,1,1998,160,19996,7.8,22.1,1.298,3.6,9,0.426430969,4.400072314,0,150,2026-04-28T16:35:19Z,1998-01-01
161,1,1998,161,19996,7.8,22.1,1.298,3.6,9,0.426430969,4.400072314,0,150,2026-04-28T16:35:19Z,1998-01-01
162,1,1998,162,19996,7.8,22.1,1.298,3.6,9,0.426430969,4.400072314,0,150,2026-04-28T16:35:19Z,1998-01-01
163,1,1998,163,19996,7.8,22.1,1.298,3.6,9,0.426430969,4.400072314,0,150,2026-04-28T16:35:19Z,1998-01-01
164,1,1998,164,19996,7.8,22.1,1.298,3.6,9,0.426430969,4.400072314,0,150,2026-04-28T16:35:19Z,1998-01-01
165,1,1998,165,19996,7.8,22.1,1.298,3.6,9,0.426430969,4.400072314,0,150,2026-04-28T16:35:19Z,1998-01-01
166,1,1998,166,19996,7.8,22.1,1.298,3.6,9,0.426430969,4.400072314,0,150,2026-04-28T16:35:19Z,1998-01-01
167,1,1998,167,19996,7.8,22.1,1.298,3.6,9,0.426430969,4.400072314,0,150,2026-04-28T16:35:19Z,1998-01-01
168,1,1998,168,19996,7.8,22.1,1.298,3.6,9,0.426430969,4.400072314,0,150,2026-04-28T16:35:19Z,1998-01-01
169,1,1998,169,19996,7.8,22.1,1.298,3.6,9,0.426430969,4.400072314,0,150,2026-04-28T16:35:19Z,1998-01-01
170,1,1998,170,19996,7.8,22.1,1.298,3.6,9,0.426430969,4.400072314,0,150,2026-04-28T16:35:19Z,1998-01-01
171,1,1998,171,19996,7.8,22.1,1.298,3.6,9,0.426430969,4.400072314,0,150,2026-04-28T16:35:19Z,1998-01-01
172,1,1998,172,19996,7.8,22.1,1.298,3.6,9,0.426430969,4.400072314,0,150,2026-04-28T16:35:19Z,1998-01-01
173,1,1998,173,19996,7.8,22.1,1.298,3.6,9,0.426430969,4.400072314,0,150,2026-04-28T16:35:19Z,1998-01-01
174,1,1998,174,19996,7.8,22.1,1.298,3.6,9,0.426430969,4.400072314,0,150,2026-04-28T16:35:19Z,1998-01-01
175,1,1998,175,19996,7.8,22.1,1.298,3.6,9,0.426430969,4.400072314,0,150,2026-04-28T16:35:19Z,1998-01-01
176,1,1998,176,19996,7.8,22.1,1.298,3.6,9,0.426430969,4.400072314,0,150,2026-04-28T16:35:19Z,1998-01-01
177,1,1998,177,19996,7.8,22.1,1.298,3.6,9,0.426430969,4.400072314,0,150,2026-04-28T16:35:19Z,1998-01-01
178,1,1998,178,19996,7.8,22.1,1.298,3.6,9,0.426430969,4.400072314,0,150,2026-04-28T16:35:19Z,1998-01-01
179,1,1998,179,19996,7.8,22.1,1.298,3.6,9,0.426430969,4.400072314,0,150,2026-04-28T16:35:19Z,1998-01-01
180,1,1998,180,19996,7.8,22.1,1.298,3.6,9,0.426430969,4.400072314,0,150,2026-04-28T16:35:19Z,1998-01-01
181,1,1998,181,19996,7.8,22.1,1.298,3.6,9,0.426430969,4.400072314,0,150,2026-04-28T16:35:19Z,1998-01-01
182,1,1998,182,19996,7.8,22.1,1.298,3.6,9,0.426430969,4.400072314,0,150,2026-04-28T16:35:19Z,1998-01-01
183,1,1998,183,19996,7.8,22.1,1.298,3.6,9,0.426430969,4.400072314,0,150,2026-04-28T16:35:19Z,1998-01-01
184,1,1998,184,19996,7.8,22.1,1.298,3.6,9,0.426430969,4.400072314,0,150,2026-04-28T16:35:19Z,1998-01-01
185,1,1998,185,19996,7.8,22.1,1.298,3.6,9,0.426430969,4.400072314,0,150,2026-04-28T16:35:19Z,1998-01-01
186,1,1998,186,19996,7.8,22.1,1.298,3.6,9,0.426430969,4.400072314,0,150,2026-04-28T16:35:19Z,1998-01-01
187,1,1998,187,19996,7.8,22.1,1.298,3.6,9,0.426430969,4.400072314,0,150,2026-04-28T16:35:19Z,1998-01-01
188,1,1998,188,19996,7.8,22.1,1.298,3.6,9,0.426430969,4.400072314,0,150,2026-04-28T16:35:19Z,1998-01-01
189,1,1998,189,19996,7.8,22.1,1.298,3.6,9,0.426430969,4.400072314,0,150,2026-04-28T16:35:19Z,1998-01-01
190,1,1998,190,19996,7.8,22.1,1.298,3.6,9,0.426430969,4.400072314,0,150,2026-04-28T16:35:19Z,1998-01-01
191,1,1998,191,19996,7.8,22.1,1.298,3.6,9,0.426430969,4.400072314,0,150,2026-04-28T16:35:19Z,1998-01-01
192,1,1998,192,19996,7.8,22.1,1.298,3.6,9,0.426430969,4.400072314,0,150,2026-04-28T16:35:19Z,1998-01-01
193,1,1998,193,19996,7.8,22.1,1.298,3.6,9,0.426430969,4.400072314,0,150,2026-04-28T16:35:19Z,1998-01-01
194,1,1998,194,19996,7.8,22.1,1.298,3.6,9,0.426430969,4.400072314,0,150,2026-04-28T16:35:19Z,1998-01-01
195,1,1998,195,19996,7.8,22.1,1.298,3.6,9,0.426430969,4.400072314,0,150,2026-04-28T16:35:19Z,1998-01-01
196,1,1998,196,19996,7.8,22.1,1.298,3.6,9,0.426430969,4.400072314,0,150,2026-04-28T16:35:19Z,1998-01-01
197,1,1998,197,19996,7.8,22.1,1.298,3.6,9,0.426430969,4.400072314,0,150,2026-04-28T16:35:19Z,1998-01-01
198,1,1998,198,19996,7.8,22.1,1.298,3.6,9,0.426430969,4.400072314,0,150,2026-04-28T16:35:19Z,1998-01-01
199,1,1998,199,19996,7.8,22.1,1.298,3.6,9,0.426430969,4.400072314,0,150,2026-04-28T16:35:19Z,1998-01-01
200,1,1998,200,19996,7.8,22.1,1.298,3.6,9,0.426430969,4.400072314,0,150,2026-04-28T16:35:19Z,1998-01-01
201,1,1998,201,19996,7.8,22.1,1.298,3.6,9,0.426430969,4.400072314,0,150,2026-04-28T16:35:19Z,1998-01-01
202,1,1998,202,19996,7.8,22.1,1.298,3.6,9,0.426430969,4.400072314,0,150,2026-04-28T16:35:19Z,1998-01-01
203,1,1998,203,19996,7.8,22.1,1.298,3.6,9,0.426430969,4.400072314,0,150,2026-04-28T16:35:19Z,1998-01-01
