reference_id,kind,simulator_score,P1,P2,P3,P4,P5,final_TBW,mean_ADG,total_feed_intake,mean_FE,final_beef_production,mean_heat_production,mean_heat_stress,mean_cold_stress
R097,monotonic_mixed_program,0.749499,2,2,2,3,3,905.784376,0.865096,8035.341639,0.28112,478.952169,6.080137,1.1385,0.343
R011,single_phase_swap,0.749464,3,2,3,3,3,905.784376,0.86243,8230.913522,0.283969,478.952169,6.056466,1.1565,0.308
R021,single_phase_swap,0.749396,3,3,3,5,3,905.784376,0.862187,8178.54921,0.28301,478.952169,6.055148,1.143,0.308
R108,monotonic_mixed_program,0.748255,2,2,3,5,5,907.505027,0.861582,8055.248536,0.279068,480.301609,6.055831,1.116,0.322
R008,single_phase_swap,0.748169,4,3,3,3,3,905.784376,0.856905,8222.116981,0.282991,478.952169,6.066614,1.1385,0.3255
R003,baseline_full_diet,0.748119,3,3,3,3,3,905.784376,0.862784,8233.197449,0.282727,478.952169,6.057991,1.161,0.308
R071,monotonic_mixed_program,0.747821,1,2,3,3,4,871.00047,0.858987,7614.655979,0.293504,452.443162,6.077469,1.134,0.3255
R105,monotonic_mixed_program,0.746978,2,2,3,3,5,907.505027,0.862179,8109.896775,0.278785,480.301609,6.058673,1.134,0.322
R117,monotonic_mixed_program,0.746911,2,3,3,5,5,907.505027,0.861936,8057.532463,0.277826,480.301609,6.057355,1.1205,0.322
R080,monotonic_mixed_program,0.746477,1,3,3,3,4,871.00047,0.859341,7616.939906,0.292262,452.443162,6.078993,1.1385,0.3255
R114,monotonic_mixed_program,0.745634,2,3,3,3,5,907.505027,0.862534,8112.180702,0.277543,480.301609,6.060198,1.1385,0.322
R009,single_phase_swap,0.744536,5,3,3,3,3,905.784376,0.862497,8226.745644,0.278459,478.952169,6.060765,1.1385,0.322
R103,monotonic_mixed_program,0.744286,2,2,3,3,3,905.784376,0.862294,8224.875127,0.278085,478.952169,6.059296,1.134,0.322
R095,monotonic_mixed_program,0.743698,2,2,2,2,4,871.00047,0.866899,7353.733702,0.285076,452.443162,6.089663,1.1205,0.343
R007,single_phase_swap,0.742941,2,3,3,3,3,905.784376,0.862648,8227.159054,0.276843,478.952169,6.06082,1.1385,0.322
R098,monotonic_mixed_program,0.742008,2,2,2,3,4,871.00047,0.867471,7431.296431,0.284613,452.443162,6.092355,1.1385,0.343
R024,single_phase_swap,0.740628,3,3,3,3,4,871.00047,0.86516,7629.152241,0.28622,452.443162,6.07021,1.161,0.308
R104,monotonic_mixed_program,0.736794,2,2,3,3,4,871.00047,0.864669,7620.829919,0.281578,452.443162,6.071515,1.134,0.322
R113,monotonic_mixed_program,0.73545,2,3,3,3,4,871.00047,0.865023,7623.113846,0.280336,452.443162,6.073039,1.1385,0.322
