fattening_day,doy,rad,mint,maxt,vpr,wind,rain,aha,okta,growth_start_date,growth_date,tbw_kg,genetic_potential_tbw_kg,feed_intake_kg_dm_day,feed1_available_kg_dm_day,feed2_available_kg_dm_day,feed3_available_kg_dm_day,feed4_available_kg_dm_day,beef_production_kg,beef_event_kg,me_uptake_mj_day,heat_production,genotype,heat_stress,cold_stress,digestion_cap,energy,protein,scale,breed,diet,sex_animal,housing,case_id
117,117,0,10.43355,15.200399999999998,0.938,1.7,6.0,0.455801274,6.749712215,1998-01-01,1998-04-27,185.0576914144438,190.68774283957316,2.2828729319002865,0.11414364659501433,2.168729285305272,0.0,0.0,73.44883411801047,0.0,20.748798096144952,7.453107342249384,5.5,0.0,3.5,0.0,0.0,0.0,1,6,5,0,0,5
118,118,0,10.43355,18.40719,0.863,0.85,0.4,0.453413747,4.604289098,1998-01-01,1998-04-28,186.48144257418025,191.99911417959328,2.3069672139606054,0.1153483606980303,2.1916188532625753,0.0,0.0,73.9983460617528,0.0,20.967788556260047,7.463727214688169,5.5,0.0,0.0,0.0,0.0,0.0,1,6,5,0,0,5
119,119,0,6.79341,19.273889999999998,0.928,0.9,4.2,0.45110034,5.53548901,1998-01-01,1998-04-29,187.90332898344738,193.31102410795785,2.3321634466075296,0.11660817233037649,2.215555274277153,0.0,0.0,74.54835947278914,0.0,21.19679453231292,7.401594814821301,5.5,0.0,0.0,0.0,0.0,0.0,1,6,5,0,0,5
120,120,0,13.20699,19.5339,1.178,0.9,10.0,0.4488591,6.614564721,1998-01-01,1998-04-30,188.955971906159,194.6234604523184,2.3618924574847813,0.11809462287423907,2.2437978346105423,0.0,0.0,75.39349613096664,0.0,21.466998465116465,7.496021153655336,5.5,0.0,0.0,0.0,0.0,0.0,1,6,5,0,0,5
121,121,0,12.08028,19.62057,1.153,1.0,0.0,0.446688144,6.014283485,1998-01-01,1998-05-01,190.3811250342875,195.936411061113,2.3864324316484726,0.11932162158242364,2.267110810066049,0.0,0.0,75.94341021395458,0.0,21.690039775078116,7.507468704365765,5.5,0.0,0.0,0.0,0.0,0.0,1,6,5,0,0,5
122,122,0,13.29366,18.6672,1.173,1.05,1.0,0.444585649,6.249076216,1998-01-01,1998-05-02,191.8045810292157,197.24986380385866,2.4109776482025502,0.12054888241012751,2.2904287657924227,0.0,0.0,76.49392096569686,0.0,21.913128732588678,7.518923253249115,5.5,0.0,0.0,0.0,0.0,0.0,1,6,5,0,0,5
123,123,0,11.906939999999999,17.88717,1.128,2.1,0.0,0.442549859,6.734313359,1998-01-01,1998-05-03,193.22638258345845,198.56380657143956,2.435526072920474,0.12177630364602372,2.3137497692744504,0.0,0.0,77.04502692053012,0.0,22.136246848771613,7.530381249045385,5.5,0.0,0.0,0.0,0.0,0.0,1,6,5,0,0,5
124,124,0,13.38033,16.50045,0.943,2.5,0.0,0.440579076,6.496661773,1998-01-01,1998-05-04,194.64657029628262,199.87822727639406,2.4605652234758,0.12302826117379002,2.33753696230201,0.0,0.0,77.59672658459485,0.0,22.36382512179401,7.44501166761995,5.5,0.0,0.0,0.0,0.0,0.0,1,6,5,0,0,5
125,125,0,8.2668,18.75387,0.918,1.6,0.0,0.450340943,4.798882615,1998-01-01,1998-05-05,195.70014574082083,201.19311385319907,2.488444451848607,0.12442222259243035,2.3640222292561766,0.0,0.0,78.44369905591445,0.0,22.61721657100716,7.559064301784683,5.5,0.0,0.0,0.0,0.0,0.0,1,6,5,0,0,5
126,126,0,13.72701,19.18722,0.983,1.5,0.0,0.448324705,5.989509948,1998-01-01,1998-05-06,197.12289741221107,202.5084542585505,2.5128920002038138,0.1256446000101907,2.387247400193623,0.0,0.0,78.99516066601836,0.0,22.839417832268634,7.570345781740412,5.5,0.0,0.0,0.0,0.0,0.0,1,6,5,0,0,5
